Output File                                                              Name                                              Type        FSH File                                                      Lines
AuditEvent-BeispielNutzungsprotokoll.json                                BeispielNutzungsprotokoll                         Instance    Examples\dipag-R10-nutzungsprotokoll.fsh                      1 - 16
Bundle-BeispielNutzungsprotokollResultBundle.json                        BeispielNutzungsprotokollResultBundle             Instance    Examples\dipag-R10-nutzungsprotokoll.fsh                      18 - 24
Bundle-BulkRetrieveExampleInput.json                                     BulkRetrieveExampleInput                          Instance    Examples\dipag-R3-bulk-retrieve.fsh                           1 - 10
Bundle-BulkRetrieveExampleOutput.json                                    BulkRetrieveExampleOutput                         Instance    Examples\dipag-R3-bulk-retrieve.fsh                           12 - 21
Bundle-BulkSubmitExample.json                                            BulkSubmitExample                                 Instance    Examples\dipag-R2-bulk-submit.fsh                             1 - 10
Bundle-BulkSubmitExampleOutput.json                                      BulkSubmitExampleOutput                           Instance    Examples\dipag-R2-bulk-submit.fsh                             133 - 142
Bundle-ExampleR5Bundle.json                                              ExampleR5Bundle                                   Instance    Examples\dipag-R5-retrieve.fsh                                41 - 47
Bundle-PatientenBundle.json                                              PatientenBundle                                   Instance    Examples\dipag-R0-patient-search.fsh                          1 - 7
CapabilityStatement-CapabilityStatementFD.json                           CapabilityStatementFD                             Instance    CapabilityStatementFD.fsh                                     1 - 128
CodeSystem-dipag-abrechnungs-diagnose-use-CS.json                        DiPagAbrechnungsDiagnoseUseCS                     CodeSystem  CodeSystems\dipag-invoice-useDiagnose.fsh                     1 - 5
CodeSystem-dipag-attachment-format-cs.json                               DiPagAttachmentFormatCS                           CodeSystem  Profiles\dipag-dokumentenmetadaten.fsh                        147 - 155
CodeSystem-dipag-chargeitem-type-CS.json                                 DiPagRechnungspositionTypeCS                      CodeSystem  CodeSystems\dipag-chargeitem-type-cs.fsh                      1 - 10
CodeSystem-dipag-dokument-artderarchivierung-cs.json                     DiPagDokumentArtDerArchivierungCS                 CodeSystem  CodeSystems\dipag-rechnung-markierung.fsh                     15 - 21
CodeSystem-dipag-operationen-cs.json                                     DiPagOperationenCS                                CodeSystem  Profiles\dipag-nutzungsprotokoll.fsh                          47 - 55
CodeSystem-dipag-participant-role-CS.json                                DiPagParticipantRoleCS                            CodeSystem  CodeSystems\dipag-rechnung-participantRole-cs.fsh             1 - 6
CodeSystem-dipag-prop-rest-interactions-cs.json                          DiPagPropRestInterationsCS                        CodeSystem  Profiles\dipag-nutzungsprotokoll.fsh                          57 - 64
CodeSystem-dipag-rechnung-abrechnungsart-cs.json                         DiPagRechnungAbrechnungsartCS                     CodeSystem  CodeSystems\dipag-rechnung-abrechnungsarten.fsh               1 - 7
CodeSystem-dipag-rechnung-identifier-type-cs.json                        DiPagRechnungIdentifierTypeCS                     CodeSystem  CodeSystems\dipag-rechnung-identifierType-cs.fsh              1 - 6
CodeSystem-dipag-rechnung-markierung-cs.json                             DiPagRechnungMarkierungCS                         CodeSystem  CodeSystems\dipag-rechnung-markierung.fsh                     1 - 13
CodeSystem-dipag-rechnung-submit-modus-cs.json                           DiPagRechnungSubmitModusCS                        CodeSystem  OperationDefinitions\dipag-operation-submit.fsh               89 - 95
CodeSystem-dipag-rechnung-type-cs.json                                   DiPagRechnungTypeCS                               CodeSystem  CodeSystems\dipag-rechnung-type-cs.fsh                        1 - 6
